INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
169180023,9/9/2017,3:57:00,STATEN ISLAND,120,0,,FALSE,,,,25-44,M,BLACK,959975,171772,40.63812599,-74.08746692
169180027,9/9/2017,22:15:00,BRONX,50,0,,FALSE,,,,25-44,M,BLACK HISPANIC,1011288,255912,40.86906069,-73.90224226
169180025,9/9/2017,18:35:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,999888,193014,40.69645001,-73.94360674
169180024,9/9/2017,15:20:00,BROOKLYN,67,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,997784,172132,40.63913704,-73.95123623
169180022,9/9/2017,0:20:00,BROOKLYN,61,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,ASIAN / PACIFIC ISLANDER,1001019,156467,40.59613434,-73.9396189
156603440,9/9/2016,20:58:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,<18,M,BLACK,1003592,176432,40.65092884,-73.93029673
156603439,9/9/2016,20:43:00,BRONX,41,0,,FALSE,,,,25-44,M,WHITE HISPANIC,1011370,235889,40.81410317,-73.90202675
156603438,9/9/2016,11:50:00,MANHATTAN,32,0,,FALSE,,,,<18,M,BLACK,1001664,239682,40.82453835,-73.93708114
156552658,9/9/2016,0:18:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,1044416,183458,40.67003035,-73.78311289
146014287,9/9/2015,23:08:00,BRONX,47,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1026323,261252,40.88365847,-73.84784793
146014286,9/9/2015,23:00:00,MANHATTAN,28,0,,FALSE,,,,25-44,M,BLACK,998318,231726,40.80270732,-73.94918759
146013532,9/9/2015,19:03:00,BROOKLYN,77,0,,TRUE,25-44,M,BLACK,18-24,M,BLACK,1001196,185003,40.67445925,-73.9389099
145992814,9/9/2015,11:54:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,FALSE,<18,M,WHITE HISPANIC,<18,M,WHITE HISPANIC,994904,167484,40.6263832,-73.96162067
